txn_id,event_time,settlement_time,amount,currency,status,country,mcc,card_number,merchant_id,auth_code,settlement_date
TXN00000001,2026-01-04 15:54:04.370239,2026-01-05 05:54:04.370239,42.31,USD,SETTLED,US,7011,5123457977267911,MERCH5400,AUTH846172,2026-01-05
TXN00000002,2026-01-04 14:41:58.370239,2026-01-04 20:41:58.370239,16.32,USD,SETTLED,US,5541,5123457988845536,MERCH7102,AUTH726495,2026-01-04
TXN00000003,2026-01-04 14:30:10.370239,2026-01-05 14:30:10.370239,53.07,EUR,SETTLED,DE,5999,4111115943324387,MERCH1331,AUTH160254,2026-01-05
TXN00000004,2026-01-04 16:08:00.370239,2026-01-05 09:08:00.370239,197.26,GBP,SETTLED,GB,7011,4242425588254555,MERCH6535,AUTH911187,2026-01-05
TXN00000005,2026-01-04 15:04:19.370239,2026-01-05 12:04:19.370239,14.14,USD,SETTLED,GB,5411,5123455536224717,MERCH5965,AUTH960072,2026-01-05
TXN00000006,2026-01-04 15:00:12.370239,2026-01-05 00:00:12.370239,1414.0,JPY,SETTLED,DE,5541,5432103178995337,MERCH6094,AUTH283785,2026-01-05
TXN00000007,2026-01-04 14:57:14.370239,2026-01-05 10:57:14.370239,214.61,USD,SETTLED,DE,5541,5432106628158856,MERCH5593,AUTH771394,2026-01-05
TXN00000008,2026-01-04 14:45:49.370239,2026-01-05 08:45:49.370239,63.51,EUR,SETTLED,AU,7011,3782822940955281,MERCH9054,AUTH618382,2026-01-05
TXN00000009,2026-01-04 16:07:19.370239,2026-01-05 08:07:19.370239,9.93,GBP,PENDING,DE,5411,5432105539308214,MERCH2609,AUTH560295,
TXN00000010,2026-01-04 14:40:45.370239,2026-01-05 05:40:45.370239,4532.0,JPY,SETTLED,CA,5411,3782828867077130,MERCH4734,AUTH111230,2026-01-05
TXN00000011,2026-01-04 15:59:09.370239,2026-01-05 05:59:09.370239,10.02,GBP,SETTLED,GB,7011,4111119919491730,MERCH3201,AUTH311505,2026-01-05
TXN00000012,2026-01-04 16:07:53.370239,2026-01-05 16:07:53.370239,9.99,GBP,SETTLED,DE,5812,4111114673457063,MERCH5923,AUTH991884,2026-01-05
TXN00000013,2026-01-04 15:41:13.370239,2026-01-05 10:41:13.370239,28.87,USD,SETTLED,CA,5541,4111117472806994,MERCH8259,AUTH788793,2026-01-05
TXN00000014,2026-01-04 14:38:38.370239,2026-01-04 23:38:38.370239,1.14,GBP,SETTLED,CA,5541,4242424847761430,MERCH6257,AUTH942960,2026-01-04
TXN00000015,2026-01-04 15:47:23.370239,2026-01-05 02:47:23.370239,1.51,USD,SETTLED,CA,5999,4242423799620568,MERCH5414,AUTH643323,2026-01-05
TXN00000016,2026-01-04 15:24:22.370239,2026-01-04 23:24:22.370239,864.0,JPY,PENDING,CA,7011,3782825560712830,MERCH7828,AUTH399899,
TXN00000017,2026-01-04 14:31:06.370239,2026-01-04 17:31:06.370239,4.4,EUR,SETTLED,AU,5999,5432104067961943,MERCH2462,AUTH304206,2026-01-04
TXN00000018,2026-01-04 14:30:50.370239,2026-01-04 23:30:50.370239,32.18,GBP,SETTLED,CA,5999,5432101741134891,MERCH4079,AUTH135241,2026-01-04
TXN00000019,2026-01-04 14:39:33.370239,2026-01-05 05:39:33.370239,5.14,USD,FAILED,AU,5411,4111115976777081,MERCH8237,AUTH922041,
TXN00000020,2026-01-04 14:56:37.370239,2026-01-04 22:56:37.370239,2.41,EUR,SETTLED,AU,5541,5123456509985983,MERCH4463,AUTH728636,2026-01-04
TXN00000021,2026-01-04 14:58:31.370239,2026-01-05 05:58:31.370239,181.0,EUR,SETTLED,CA,5999,4242423567900251,MERCH7671,AUTH635348,2026-01-05
TXN00000022,2026-01-04 15:35:45.370239,2026-01-05 10:35:45.370239,14.32,GBP,SETTLED,GB,5411,4242428075122626,MERCH8937,AUTH640869,2026-01-05
TXN00000023,2026-01-04 15:48:57.370239,2026-01-05 11:48:57.370239,22.23,USD,SETTLED,CA,7011,4111115578056564,MERCH9462,AUTH832377,2026-01-05
TXN00000024,2026-01-04 14:30:23.370239,2026-01-05 12:30:23.370239,2.37,USD,SETTLED,CA,5999,4242429995834531,MERCH7126,AUTH342924,2026-01-05
TXN00000025,2026-01-04 15:43:23.370239,2026-01-05 04:43:23.370239,8.88,USD,PENDING,CA,5541,4111118208584394,MERCH1920,AUTH745073,
TXN00000026,2026-01-04 14:53:54.370239,2026-01-05 01:53:54.370239,23.72,USD,SETTLED,GB,5999,3782826515369278,MERCH9442,AUTH277715,2026-01-05
TXN00000027,2026-01-04 16:04:31.370239,2026-01-04 17:04:31.370239,357.0,JPY,SETTLED,US,7011,5432104750707607,MERCH3604,AUTH806765,2026-01-04
TXN00000028,2026-01-04 15:55:29.370239,2026-01-05 07:55:29.370239,35.29,USD,SETTLED,US,5999,5123452431779064,MERCH2075,AUTH137812,2026-01-05
TXN00000029,2026-01-04 16:02:31.370239,2026-01-05 03:02:31.370239,8.16,CAD,SETTLED,AU,5541,5432106797436140,MERCH6097,AUTH477214,2026-01-05
TXN00000030,2026-01-04 15:41:10.370239,2026-01-04 21:41:10.370239,12.97,USD,FAILED,AU,5411,5432102683446724,MERCH9303,AUTH350878,
TXN00000031,2026-01-04 15:24:02.370239,2026-01-05 07:24:02.370239,8.15,USD,SETTLED,GB,5541,3782825028688786,MERCH7609,AUTH786837,2026-01-05
TXN00000032,2026-01-04 14:56:51.370239,2026-01-04 21:56:51.370239,323.25,GBP,SETTLED,DE,5411,4242428695129534,MERCH3222,AUTH100301,2026-01-04
TXN00000033,2026-01-04 15:28:05.370239,2026-01-05 03:28:05.370239,19.68,EUR,SETTLED,US,5812,5123454492602049,MERCH9589,AUTH265092,2026-01-05
TXN00000034,2026-01-04 15:47:13.370239,2026-01-05 00:47:13.370239,4.11,USD,SETTLED,AU,5541,4242423260842187,MERCH1474,AUTH191061,2026-01-05
TXN00000035,2026-01-04 15:04:44.370239,2026-01-05 02:04:44.370239,68.98,EUR,SETTLED,US,5541,5432102554039848,MERCH3846,AUTH389340,2026-01-05
TXN00000036,2026-01-04 16:17:16.370239,2026-01-05 01:17:16.370239,3.22,GBP,SETTLED,GB,7011,4111116852312425,MERCH4158,AUTH917546,2026-01-05
TXN00000037,2026-01-04 16:25:27.370239,2026-01-05 12:25:27.370239,27.48,USD,SETTLED,GB,5999,5432106214917780,MERCH4288,AUTH518836,2026-01-05
TXN00000038,2026-01-04 14:27:39.370239,2026-01-05 13:27:39.370239,1.06,CAD,SETTLED,DE,5411,4242423088517710,MERCH1944,AUTH470281,2026-01-05
TXN00000039,2026-01-04 16:10:22.370239,2026-01-05 01:10:22.370239,2.74,CAD,SETTLED,DE,5411,5432101590838716,MERCH5087,AUTH802191,2026-01-05
TXN00000040,2026-01-04 16:16:47.370239,2026-01-05 10:16:47.370239,26.99,EUR,SETTLED,GB,7011,4111115626388820,MERCH1541,AUTH514337,2026-01-05
TXN00000041,2026-01-04 14:48:33.370239,2026-01-04 15:48:33.370239,60.81,USD,SETTLED,AU,7011,3782829752058817,MERCH8478,AUTH525146,2026-01-04
TXN00000042,2026-01-04 16:02:05.370239,2026-01-05 09:02:05.370239,25.97,EUR,SETTLED,US,5999,4242422617999521,MERCH1828,AUTH714549,2026-01-05
TXN00000043,2026-01-04 15:24:28.370239,2026-01-04 22:24:28.370239,16.89,USD,SETTLED,CA,5999,5432101696846464,MERCH6904,AUTH310040,2026-01-04
TXN00000044,2026-01-04 15:13:13.370239,2026-01-04 18:13:13.370239,12.79,USD,SETTLED,DE,5541,4242422879792991,MERCH4262,AUTH642892,2026-01-04
TXN00000045,2026-01-04 15:04:42.370239,2026-01-04 23:04:42.370239,2.19,USD,SETTLED,CA,5812,3782827059591606,MERCH5488,AUTH116112,2026-01-04
TXN00000046,2026-01-04 14:47:59.370239,2026-01-05 14:47:59.370239,6.82,USD,SETTLED,AU,5999,5432102928130926,MERCH7035,AUTH872722,2026-01-05
TXN00000047,2026-01-04 14:56:09.370239,2026-01-05 04:56:09.370239,1006.0,JPY,SETTLED,DE,7011,5432103293560436,MERCH8605,AUTH837801,2026-01-05
TXN00000048,2026-01-04 16:11:00.370239,2026-01-05 08:11:00.370239,98.07,GBP,SETTLED,CA,5999,4242424586784711,MERCH9275,AUTH171950,2026-01-05
TXN00000049,2026-01-04 15:12:43.370239,2026-01-05 09:12:43.370239,33.63,GBP,PENDING,AU,5411,4242429523104008,MERCH7503,AUTH194545,
TXN00000050,2026-01-04 14:40:43.370239,2026-01-04 22:40:43.370239,1.43,USD,SETTLED,US,5812,4111117560389844,MERCH3029,AUTH676289,2026-01-04
TXN00000051,2026-01-04 14:39:25.370239,2026-01-05 13:39:25.370239,32.66,USD,SETTLED,AU,5541,3782825150090143,MERCH1500,AUTH398313,2026-01-05
TXN00000052,2026-01-04 15:18:38.370239,2026-01-05 07:18:38.370239,11.27,USD,SETTLED,DE,5411,4111114508521152,MERCH4963,AUTH861411,2026-01-05
TXN00000053,2026-01-04 14:39:58.370239,2026-01-05 11:39:58.370239,7.28,CAD,SETTLED,GB,5411,5432102073755632,MERCH7102,AUTH970071,2026-01-05
TXN00000054,2026-01-04 15:15:46.370239,2026-01-05 14:15:46.370239,50.28,USD,SETTLED,US,5812,4242428048810275,MERCH9008,AUTH686273,2026-01-05
TXN00000055,2026-01-04 16:22:28.370239,2026-01-05 08:22:28.370239,9430.0,JPY,SETTLED,CA,5541,5432109049270990,MERCH8308,AUTH711248,2026-01-05
TXN00000056,2026-01-04 15:13:43.370239,2026-01-05 06:13:43.370239,81.2,EUR,PENDING,DE,7011,5432104655730355,MERCH3909,AUTH465004,
TXN00000057,2026-01-04 15:49:11.370239,2026-01-04 16:49:11.370239,5.7,USD,SETTLED,GB,5541,5123452224336336,MERCH8775,AUTH464354,2026-01-04
TXN00000058,2026-01-04 15:02:52.370239,2026-01-04 18:02:52.370239,12.63,GBP,PENDING,AU,5999,5123454277561834,MERCH6730,AUTH955129,
TXN00000059,2026-01-04 16:16:57.370239,2026-01-05 02:16:57.370239,33.01,USD,SETTLED,GB,5411,5432106466597005,MERCH6640,AUTH389939,2026-01-05
TXN00000060,2026-01-04 14:32:41.370239,2026-01-04 22:32:41.370239,8677.0,JPY,SETTLED,DE,5999,4242422878930355,MERCH3679,AUTH337288,2026-01-04
TXN00000061,2026-01-04 16:06:23.370239,2026-01-05 05:06:23.370239,979.0,JPY,PENDING,DE,7011,5432105409514899,MERCH5237,AUTH735818,
TXN00000062,2026-01-04 15:29:29.370239,2026-01-05 14:29:29.370239,15.2,USD,SETTLED,GB,5999,5123455523703900,MERCH2480,AUTH303974,2026-01-05
TXN00000063,2026-01-04 15:39:58.370239,2026-01-04 23:39:58.370239,3.82,USD,SETTLED,AU,5541,4242427451071432,MERCH5670,AUTH576849,2026-01-04
TXN00000064,2026-01-04 14:43:48.370239,2026-01-05 00:43:48.370239,3.34,EUR,SETTLED,GB,5999,5432106307626407,MERCH1449,AUTH523579,2026-01-05
TXN00000065,2026-01-04 15:18:26.370239,2026-01-05 13:18:26.370239,6795.0,JPY,SETTLED,DE,7011,3782825271453859,MERCH7333,AUTH702833,2026-01-05
TXN00000066,2026-01-04 14:37:31.370239,2026-01-05 09:37:31.370239,153.6,USD,SETTLED,DE,7011,3782822610237679,MERCH1813,AUTH104877,2026-01-05
